6773,-0.01,0.96,-0.02,0.28,2.84,0.57,3.67,18.82,3.87
6784,0.01,0.97,-0.06,-0.56,2.91,0.18,5.45,18.47,3.87
6795,0.02,0.97,-0.01,0.14,2.70,0.21,7.14,18.11,3.88
6806,-0.02,0.99,-0.02,0.43,3.06,0.37,8.80,17.80,3.88
6817,-0.04,0.98,-0.09,0.33,3.98,0.72,10.49,17.54,3.89
6828,-0.03,0.96,-0.11,-1.38,3.46,0.42,12.16,17.27,3.89
6839,-0.01,1.03,-0.00,-0.19,3.02,0.72,13.71,16.96,3.90
6850,-0.04,1.01,0.01,0.20,3.57,0.47,15.18,16.71,3.91
6861,-0.08,0.94,-0.11,-1.55,4.01,0.39,16.70,16.53,3.91
6872,-0.03,1.01,-0.05,-0.82,3.51,-0.15,18.18,16.27,3.91
6883,-0.02,0.96,0.01,-0.96,2.58,0.21,19.57,16.00,3.91
6894,-0.03,0.97,0.08,-0.32,3.02,-0.15,20.85,15.74,3.91
6905,-0.06,1.00,0.09,0.77,3.64,0.31,22.06,15.53,3.91
6916,-0.05,0.98,-0.08,-0.57,3.05,-0.10,23.45,15.32,3.91
6927,-0.03,0.98,-0.06,-1.55,2.58,-0.05,24.80,15.08,3.91
6938,-0.03,0.99,0.07,0.34,2.48,0.11,25.99,14.84,3.91
6949,-0.06,0.97,0.04,0.71,2.87,0.24,27.15,14.65,3.91
6960,-0.08,0.94,-0.11,0.17,2.93,0.21,28.45,14.50,3.92
6971,-0.04,1.03,-0.07,-0.41,1.81,-0.10,29.71,14.28,3.92
6982,-0.04,0.96,-0.01,-1.58,1.05,-0.45,30.87,14.05,3.91
6993,-0.02,0.99,0.08,0.81,2.51,-0.05,31.95,13.81,3.91
7004,-0.08,0.98,-0.08,-0.27,2.73,-0.11,33.12,13.67,3.91
7015,-0.07,1.01,-0.11,-0.61,2.47,-0.51,34.30,13.51,3.90
7026,-0.05,1.01,0.03,-0.48,1.72,-0.76,35.32,13.31,3.90
7037,-0.08,0.93,-0.03,0.84,3.16,-0.11,36.37,13.18,3.89
7048,-0.08,1.00,-0.05,1.03,3.09,-0.10,37.42,13.05,3.89
7059,-0.04,0.97,-0.08,-0.22,2.61,-0.30,38.51,12.87,3.89
7070,-0.05,1.00,0.09,-0.06,2.65,-0.11,39.39,12.69,3.89
7081,-0.06,0.93,0.00,-0.04,3.42,0.28,40.32,12.54,3.89
7092,-0.05,1.00,-0.04,0.84,2.87,0.56,41.31,12.38,3.90
7103,-0.04,0.99,-0.03,-0.13,2.32,0.11,42.27,12.20,3.90
7114,-0.06,0.92,-0.00,0.66,2.58,-0.10,43.16,12.06,3.90
7125,-0.07,0.96,-0.05,0.46,3.02,0.02,44.08,11.94,3.90
7136,-0.05,1.00,-0.08,0.45,2.82,0.07,45.04,11.79,3.90
7147,-0.05,0.98,0.02,-0.71,2.16,-0.65,45.86,11.63,3.89
7158,-0.04,1.02,0.07,1.13,2.67,0.07,46.63,11.47,3.89
7169,-0.08,0.99,-0.09,0.69,3.26,0.31,47.52,11.38,3.90
7180,-0.07,1.02,-0.07,0.28,2.51,0.34,48.37,11.26,3.90
7191,-0.07,0.98,-0.02,-0.33,2.39,-0.10,49.14,11.14,3.90
7202,-0.07,0.97,-0.03,0.57,2.27,0.42,49.92,11.03,3.90
7213,-0.05,0.96,-0.13,-0.73,2.03,0.25,50.81,10.90,3.91
7224,-0.05,0.97,0.01,-0.15,1.61,-0.16,51.52,10.76,3.90
7235,-0.06,0.98,-0.04,-0.51,2.01,-0.22,52.26,10.64,3.90
7246,-0.04,0.97,0.00,-0.07,2.06,-0.08,52.96,10.49,3.90
